Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Context of Explanation","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-1735-7","Martin Bunzl","1993","http://link.springer.com/book/10.1007/978-94-011-1735-7","Book"
"Persons and Minds","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9801-8","Joseph Margolis","1978","http://link.springer.com/book/10.1007/978-94-009-9801-8","Book"
"Methodology, Metaphysics and the History of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-6331-3","Robert S. CohenMarx W. Wartofsky","1984","http://link.springer.com/book/10.1007/978-94-009-6331-3","Book"
"Galileo’s Logical Treatises","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8036-6","William A. Wallace","1992","http://link.springer.com/book/10.1007/978-94-015-8036-6","Book"
"Goethe and the Sciences: A Reappraisal","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3761-1","Frederick AmrineFrancis J. ZuckerHarvey Wheeler","1987","http://link.springer.com/book/10.1007/978-94-009-3761-1","Book"
"Physics, Cosmology and Astronomy, 1300–1700: Tension and Accommodation","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3342-5","Sabetai Unguru","1991","http://link.springer.com/book/10.1007/978-94-011-3342-5","Book"
"Romanticism in Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2921-5","Stefano PoggiMaurizio Bossi","1994","http://link.springer.com/book/10.1007/978-94-017-2921-5","Book"
"Reflexive Epistemology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2415-4","Danilo Zolo","1989","http://link.springer.com/book/10.1007/978-94-009-2415-4","Book"
"Philosophical Problems of Modern Physics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-9617-1","Peter Mittelstaedt","1976","http://link.springer.com/book/10.1007/978-94-010-9617-1","Book"
"Science between Europe and Asia","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-9968-6","Feza GünergunDhruv Raina","2011","http://link.springer.com/book/10.1007/978-90-481-9968-6","Book"
"An Intimate Relation","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2327-0","James Robert BrownJürgen Mittelstrass","1989","http://link.springer.com/book/10.1007/978-94-009-2327-0","Book"
"Atom and Individual in the Age of Newton","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4500-5","Gideon Freudenthal","1986","http://link.springer.com/book/10.1007/978-94-009-4500-5","Book"
"Evaluating Philosophies","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-4408-0","Mario Bunge","2012","http://link.springer.com/book/10.1007/978-94-007-4408-0","Book"
"The Scientific Enterprise","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2688-5","Edna Ullmann-Margalit","1992","http://link.springer.com/book/10.1007/978-94-011-2688-5","Book"
"Technics and Praxis","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9900-8","Don Ihde","1979","http://link.springer.com/book/10.1007/978-94-009-9900-8","Book"
"Trends in the Historiography of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3596-4","Kostas GavrogluJean ChristianidisEfthymios Nicolaidis","1994","http://link.springer.com/book/10.1007/978-94-017-3596-4","Book"
"Praxis","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9355-6","Mihailo MarkovićGajo Petrović","1979","http://link.springer.com/book/10.1007/978-94-009-9355-6","Book"
"Rational Changes in Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3779-6","Joseph C. PittMarcello Pera","1987","http://link.springer.com/book/10.1007/978-94-009-3779-6","Book"
"The Form of Information in Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2837-4","Zellig HarrisMichael GottfriedThomas RyckmanPaul Mattick Jr.Anne DaladierT. N. HarrisS. Harris","1989","http://link.springer.com/book/10.1007/978-94-009-2837-4","Book"
"Autopoiesis and Cognition","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8947-4","Humberto R. MaturanaFrancisco J. Varela","1980","http://link.springer.com/book/10.1007/978-94-009-8947-4","Book"
"Schrödinger’s Philosophy of Quantum Mechanics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-1772-9","Michel Bitbol","1996","http://link.springer.com/book/10.1007/978-94-009-1772-9","Book"
"Bergson and Modern Physics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-3096-0","Milič Čapek","1971","http://link.springer.com/book/10.1007/978-94-010-3096-0","Book"
"Organism and the Origins of Self","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3406-4","Alfred I. Tauber","1991","http://link.springer.com/book/10.1007/978-94-011-3406-4","Book"
"The Invention of Physical Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2488-1","Mary Jo NyeJoan L. RichardsRoger H. Stuewer","1992","http://link.springer.com/book/10.1007/978-94-011-2488-1","Book"
"Science in Reflection","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2957-9","Edna Ullmann-Margalit","1988","http://link.springer.com/book/10.1007/978-94-009-2957-9","Book"
"Methodological Variance","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3174-2","G. L. Pandit","1991","http://link.springer.com/book/10.1007/978-94-011-3174-2","Book"
"Science in Flux","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1810-4","Joseph Agassi","1975","http://link.springer.com/book/10.1007/978-94-010-1810-4","Book"
"Abstraction and Representation","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8624-5","Peter Damerow","1996","http://link.springer.com/book/10.1007/978-94-015-8624-5","Book"
"Ludwig Boltzmann His Later Life and Philosophy, 1900–1906","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-017-0489-2","John Blackmore","1995","http://link.springer.com/book/10.1007/978-94-017-0489-2","Book"
"Nietzsche, Theories of Knowledge, and Critical Theory","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2430-2","Babette E. Babich","1999","http://link.springer.com/book/10.1007/978-94-017-2430-2","Book"
"Names, Natures and Things","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-1898-9","Syed Nomanul Haq","1994","http://link.springer.com/book/10.1007/978-94-011-1898-9","Book"
"Explanation in the Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3414-9","Émile Meyerson","1991","http://link.springer.com/book/10.1007/978-94-011-3414-9","Book"
"The Origins of Statics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3730-0","Pierre Duhem","1991","http://link.springer.com/book/10.1007/978-94-011-3730-0","Book"
"The Structural Links between Ecology, Evolution and Ethics","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-5067-8","Donato Bergandi","2013","http://link.springer.com/book/10.1007/978-94-007-5067-8","Book"
"Scientific Structuralism","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-9597-8","Alisa BokulichPeter Bokulich","2011","http://link.springer.com/book/10.1007/978-90-481-9597-8","Book"
"Rediscovering the Forgotten Vienna Circle","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3182-7","Thomas E. Uebel","1991","http://link.springer.com/book/10.1007/978-94-011-3182-7","Book"
"Philosophy and Technology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7124-0","Paul T. DurbinFriedrich Rapp","1983","http://link.springer.com/book/10.1007/978-94-009-7124-0","Book"
"Technological Development and Science in the Industrial Age","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8010-6","Peter KroesMartijn Bakker","1992","http://link.springer.com/book/10.1007/978-94-015-8010-6","Book"
"The Kaleidoscope of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5496-0","Edna Ullmann-Margalit","1986","http://link.springer.com/book/10.1007/978-94-009-5496-0","Book"
"Commentary on the Principles of Thermodynamics by Pierre Duhem","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-0311-7","Paul Needham","2011","http://link.springer.com/book/10.1007/978-94-007-0311-7","Book"
"Dialectical Theory of Meaning","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-6256-9","Mihailo Marković","1984","http://link.springer.com/book/10.1007/978-94-009-6256-9","Book"
"Polish Essays in the Methodology of the Social Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9353-2","Jerzy J. Wiatr","1979","http://link.springer.com/book/10.1007/978-94-009-9353-2","Book"
